nombre,principio,forma,tipo
ABACAVIR (clorhidrato) 600 mg + LAMIVUDINA 300 mg comprimido,ABACAVIR (clorhidrato),comprimido,pastilla
ABACAVIR (sulfato) 20 mg/ml solución oral,ABACAVIR (sulfato),solución oral,ml
ABACAVIR (sulfato) 300 mg + LAMIVUDINA 150 mg + ZIDOVUDINA 300 mg comprimido,ABACAVIR (sulfato),comprimido,pastilla
ABACAVIR (sulfato) 300 mg comprimido,ABACAVIR (sulfato),comprimido,pastilla
ABACAVIR (sulfato) 600 mg + DOLUTEGRAVIR (sódico) 50 mg + LAMIVUDINA 300 mg comprimido,ABACAVIR (sulfato),comprimido,pastilla
ABACAVIR (sulfato) 600 mg + LAMIVUDINA 300 mg comprimido,ABACAVIR (sulfato),comprimido,pastilla
ABACAVIR 300 mg comprimido,ABACAVIR,comprimido,pastilla
ABACAVIR 600 mg + LAMIVUDINA 300 mg comprimido,ABACAVIR,comprimido,pastilla
ABATACEPT 125 mg/1 ml solución inyectable en jeringa precargada,ABATACEPT,solución inyectable en jeringa precargada,ml
ABATACEPT 125 mg/1 ml solución inyectable en pluma precargada,ABATACEPT,solución inyectable en pluma precargada,ml
ABATACEPT 250 mg polvo para concentrado para solución para perfusión,ABATACEPT,polvo para concentrado para solución para perfusión,ml
ABCIXIMAB 2 mg/ml solución inyectable y para perfusión,ABCIXIMAB,solución inyectable y para perfusión,ml
ABEMACICLIB 100 mg comprimido,ABEMACICLIB,comprimido,pastilla
ABEMACICLIB 150 mg comprimido,ABEMACICLIB,comprimido,pastilla
ABEMACICLIB 50 mg comprimido,ABEMACICLIB,comprimido,pastilla
ABIRATERONA ACETATO 250 mg comprimido,ABIRATERONA ACETATO,comprimido,pastilla
ABIRATERONA ACETATO 500 mg comprimido,ABIRATERONA ACETATO,comprimido,pastilla
ACAMPROSATO CALCICO 333 mg comprimido gastrorresistente,ACAMPROSATO CALCICO,comprimido gastrorresistente,pastilla
ACARBOSA 100 mg comprimido,ACARBOSA,comprimido,pastilla
ACARBOSA 25 mg comprimido,ACARBOSA,comprimido,pastilla
ACARBOSA 50 mg comprimido,ACARBOSA,comprimido,pastilla
ACEBUTOLOL (hidrocloruro) 100 mg cápsula dura,ACEBUTOLOL (hidrocloruro),cápsula dura,pastilla
ACEBUTOLOL (hidrocloruro) 200 mg comprimido,ACEBUTOLOL (hidrocloruro),comprimido,pastilla
ACEBUTOLOL (hidrocloruro) 25 mg/5 ml solución inyectable,ACEBUTOLOL (hidrocloruro),solución inyectable,ml
ACEBUTOLOL (hidrocloruro) 40 mg/ml solución oral,ACEBUTOLOL (hidrocloruro),solución oral,ml
ACEBUTOLOL (hidrocloruro) 400 mg + HIDROCLOROTIAZIDA 25 mg comprimido,ACEBUTOLOL (hidrocloruro),comprimido,pastilla
ACEBUTOLOL (hidrocloruro) 400 mg comprimido,ACEBUTOLOL (hidrocloruro),comprimido,pastilla
ACEBUTOLOL (hidrocloruro) 500 mg comprimido de liberación prolongada,ACEBUTOLOL (hidrocloruro),comprimido de liberación prolongada,pastilla
"ACECLOFENACO 1,5 % crema",ACECLOFENACO,crema,otro
ACECLOFENACO 100 mg comprimido,ACECLOFENACO,comprimido,pastilla
ACECLOFENACO 100 mg polvo para suspensión oral en sobre,ACECLOFENACO,polvo para suspensión oral en sobre,ml
ACECLOFENACO 150 mg polvo y disolvente para solución inyectable,ACECLOFENACO,polvo y disolvente para solución inyectable,ml
